Temperature,n_H,Metallicity,Value
2.0,0.0,0.0,7.3648e-25
2.0,0.0,-1.0,8.7356e-26
2.0,0.0,-2.0,2.2534e-26
2.0,-1.3333333333333335,0.0,1.5544e-27
2.0,-1.3333333333333335,-1.0,1.9708e-28
2.0,-1.3333333333333335,-2.0,6.2071e-29
2.0,1.333333333333333,0.0,6.8746e-23
2.0,1.333333333333333,-1.0,8.5158e-24
2.0,1.333333333333333,-2.0,2.4955e-24
2.0,2.666666666666666,0.0,2.4842e-21
2.0,2.666666666666666,-1.0,3.0767e-22
2.0,2.666666666666666,-2.0,8.9513e-23
2.0,-2.666666666666667,0.0,1.7419e-31
2.0,-2.666666666666667,-1.0,1.2253e-31
2.0,-2.666666666666667,-2.0,1.1756e-31
2.0,-4.0,0.0,4.1292e-34
2.0,4.0,0.0,1.2542e-19
2.0,-4.0,-1.0,2.7124e-34
2.0,4.0,-1.0,1.4206e-20
2.0,-4.0,-2.0,2.5715e-34
2.0,4.0,-2.0,2.9264e-21
2.6666666666666665,0.0,0.0,2.8601e-24
2.6666666666666665,0.0,-1.0,3.2133e-25
2.6666666666666665,0.0,-2.0,6.785e-26
2.6666666666666665,-1.3333333333333335,0.0,6.8167e-27
2.6666666666666665,-1.3333333333333335,-1.0,7.8125e-28
2.6666666666666665,-1.3333333333333335,-2.0,1.7994e-28
2.6666666666666665,1.333333333333333,0.0,4.4537e-22
2.6666666666666665,1.333333333333333,-1.0,5.1228e-23
2.6666666666666665,1.333333333333333,-2.0,1.1855e-23
2.6666666666666665,2.666666666666666,0.0,4.062e-20
2.6666666666666665,2.666666666666666,-1.0,4.3806e-21
2.6666666666666665,2.666666666666666,-2.0,7.5703e-22
2.6666666666666665,-2.666666666666667,0.0,1.1116e-30
2.6666666666666665,-2.666666666666667,-1.0,3.4608e-31
2.6666666666666665,-2.666666666666667,-2.0,2.7176e-31
2.6666666666666665,-4.0,0.0,9.1154e-34
2.6666666666666665,4.0,0.0,2.7832e-18
2.6666666666666665,-4.0,-1.0,6.0626e-34
2.6666666666666665,4.0,-1.0,2.8839e-19
2.6666666666666665,-4.0,-2.0,5.7591e-34
2.6666666666666665,4.0,-2.0,3.7945e-20
3.333333333333333,0.0,0.0,3.8571e-24
3.333333333333333,0.0,-1.0,4.7479e-25
3.333333333333333,0.0,-2.0,1.3725e-25
3.333333333333333,-1.3333333333333335,0.0,1.6228e-26
3.333333333333333,-1.3333333333333335,-1.0,1.8584e-27
3.333333333333333,-1.3333333333333335,-2.0,4.2732e-28
3.333333333333333,1.333333333333333,0.0,8.3857e-22
3.333333333333333,1.333333333333333,-1.0,1.0804e-22
3.333333333333333,1.333333333333333,-2.0,3.5077e-23
3.333333333333333,2.666666666666666,0.0,1.0336e-19
3.333333333333333,2.666666666666666,-1.0,1.2481e-20
3.333333333333333,2.666666666666666,-2.0,3.4064e-21
4.0,0.0,0.0,6.3074e-24
3.333333333333333,-2.666666666666667,0.0,2.1069e-30
3.333333333333333,-2.666666666666667,-1.0,7.467e-31
3.333333333333333,-2.666666666666667,-2.0,6.1372e-31
3.333333333333333,-4.0,0.0,1.9794e-33
3.333333333333333,4.0,0.0,7.7338e-18
3.333333333333333,-4.0,-1.0,1.3696e-33
3.333333333333333,4.0,-1.0,1.1962e-18
3.333333333333333,-4.0,-2.0,1.309e-33
3.333333333333333,4.0,-2.0,5.8842e-19
4.0,0.0,-1.0,8.8142e-25
4.0,0.0,-2.0,3.3996e-25
4.0,-1.3333333333333335,0.0,1.0249e-26
4.0,-1.3333333333333335,-1.0,1.5907e-27
4.0,-1.3333333333333335,-2.0,7.3054e-28
4.0,1.333333333333333,0.0,3.3728e-21
4.0,1.333333333333333,-1.0,5.7954e-22
4.0,1.333333333333333,-2.0,3.0054e-22
4.0,2.666666666666666,0.0,1.0368e-18
4.0,2.666666666666666,-1.0,3.3193e-19
4.0,2.666666666666666,-2.0,2.6152e-19
4.0,-2.666666666666667,0.0,5.2793e-30
4.0,-2.666666666666667,-1.0,1.7644e-30
4.0,-2.666666666666667,-2.0,1.4199e-30
4.0,-4.0,0.0,4.3407e-33
4.0,4.0,0.0,1.3741e-16
4.0,-4.0,-1.0,3.1527e-33
4.0,4.0,-1.0,5.938e-17
4.0,-4.0,-2.0,3.0346e-33
4.0,4.0,-2.0,5.1612e-17
4.666666666666666,0.0,0.0,1.3216e-22
4.666666666666666,0.0,-1.0,3.1023e-23
4.666666666666666,0.0,-2.0,2.0931e-23
4.666666666666666,-1.3333333333333335,0.0,5.4452e-26
4.666666666666666,-1.3333333333333335,-1.0,1.5444e-26
4.666666666666666,-1.3333333333333335,-2.0,1.1588e-26
4.666666666666666,1.333333333333333,0.0,8.0175e-20
4.666666666666666,1.333333333333333,-1.0,1.8979e-20
4.666666666666666,1.333333333333333,-2.0,1.287e-20
4.666666666666666,2.666666666666666,0.0,3.7313e-17
4.666666666666666,2.666666666666666,-1.0,8.8728e-18
4.666666666666666,2.666666666666666,-2.0,6.0328e-18
4.666666666666666,-2.666666666666667,0.0,7.3842e-30
6.0,0.0,0.0,1.3805e-22
4.666666666666666,-2.666666666666667,-1.0,4.7112e-30
4.666666666666666,-2.666666666666667,-2.0,4.4479e-30
4.666666666666666,-4.0,0.0,9.9117e-33
4.666666666666666,4.0,0.0,1.6074e-14
4.666666666666666,-4.0,-1.0,7.5224e-33
4.666666666666666,4.0,-1.0,3.9159e-15
4.666666666666666,-4.0,-2.0,7.2854e-33
4.666666666666666,4.0,-2.0,2.7017e-15
5.333333333333333,0.0,0.0,4.6409e-22
5.333333333333333,0.0,-1.0,6.1393e-23
5.333333333333333,0.0,-2.0,2.1309e-23
5.333333333333333,-1.3333333333333335,0.0,1.802e-25
5.333333333333333,-1.3333333333333335,-1.0,4.4134e-26
5.333333333333333,-1.3333333333333335,-2.0,3.0718e-26
5.333333333333333,1.333333333333333,0.0,2.4212e-19
5.333333333333333,1.333333333333333,-1.0,3.1266e-20
5.333333333333333,1.333333333333333,-2.0,1.0251e-20
5.333333333333333,2.666666666666666,0.0,1.13e-16
5.333333333333333,2.666666666666666,-1.0,1.4576e-17
5.333333333333333,2.666666666666666,-2.0,4.7661e-18
5.333333333333333,-2.666666666666667,0.0,2.7852e-29
5.333333333333333,-2.666666666666667,-1.0,1.8786e-29
5.333333333333333,-2.666666666666667,-2.0,1.7891e-29
5.333333333333333,-4.0,0.0,2.3313e-32
5.333333333333333,4.0,0.0,5.2336e-14
5.333333333333333,-4.0,-1.0,1.8557e-32
5.333333333333333,4.0,-1.0,6.7541e-15
5.333333333333333,-4.0,-2.0,1.8086e-32
5.333333333333333,4.0,-2.0,2.2109e-15
6.0,0.0,-1.0,1.8162e-23
6.0,0.0,-2.0,6.2404e-24
6.0,-1.3333333333333335,0.0,2.1242e-25
6.0,-1.3333333333333335,-1.0,3.0508e-26
6.0,-1.3333333333333335,-2.0,1.2507e-26
6.0,1.333333333333333,0.0,6.5194e-20
6.0,1.333333333333333,-1.0,8.5443e-21
